,Survived,Pclass,Sex,Embarked,Title,AgeBand,Family,Alone,FareBand
118,0,1,1,2,1,3,2,0,3
119,0,3,2,1,3,1,7,0,1
120,0,2,1,1,1,3,3,0,1
121,0,3,1,1,1,3,1,1,1
122,0,2,1,2,1,4,2,0,1
123,1,2,2,1,3,4,1,1,1
124,0,1,1,1,1,6,2,0,1
125,1,3,1,2,4,2,2,0,1
126,0,3,1,3,1,3,1,1,1
127,1,3,1,1,1,3,1,1,1
128,1,3,2,2,3,3,3,0,1
129,0,3,1,1,1,5,1,1,1
130,0,3,1,2,1,4,1,1,1
131,0,3,1,1,1,2,1,1,1
132,0,3,2,1,2,5,2,0,1
133,1,2,2,1,2,3,2,0,1
134,0,2,1,1,1,3,1,1,1
135,0,2,1,2,1,3,1,1,1
136,1,1,2,1,3,2,3,0,1
137,0,1,1,1,1,4,2,0,1
138,0,3,1,1,1,2,1,1,1
139,0,1,1,2,1,3,1,1,1
140,0,3,2,2,2,4,3,0,1
141,1,3,2,1,3,3,1,1,1
142,1,3,2,1,2,3,2,0,1
143,0,3,1,3,1,2,1,1,1
144,0,2,1,1,1,2,1,1,1
145,0,2,1,1,1,2,3,0,1
146,1,3,1,1,1,3,1,1,1
147,0,3,2,1,3,1,5,0,1
148,0,2,1,1,1,4,3,0,1
149,0,2,1,1,5,5,1,1,1
150,0,2,1,1,5,6,1,1,1
151,1,1,2,1,2,3,2,0,1
152,0,3,1,1,1,6,1,1,1
153,0,3,1,1,1,5,3,0,1
154,0,3,1,1,1,3,1,1,1
155,0,1,1,2,1,6,2,0,1
156,1,3,2,3,3,2,1,1,1
157,0,3,1,1,1,3,1,1,1
158,0,3,1,1,1,3,1,1,1
159,0,3,1,1,4,1,11,0,1
160,0,3,1,1,1,5,2,0,1
161,1,2,2,1,2,4,1,1,1
162,0,3,1,1,1,3,1,1,1
163,0,3,1,1,1,2,1,1,1
164,0,3,1,1,4,1,6,0,1
165,1,3,1,1,4,1,3,0,1
166,1,1,2,1,2,4,2,0,1
167,0,3,2,1,2,5,6,0,1
168,0,1,1,1,1,3,1,1,1
169,0,3,1,1,1,3,1,1,1
170,0,1,1,1,1,7,1,1,1
171,0,3,1,3,4,1,6,0,1
172,1,3,2,1,3,1,3,0,1
173,0,3,1,1,1,3,1,1,1
174,0,1,1,2,1,6,1,1,1
175,0,3,1,1,1,2,3,0,1
176,0,3,1,1,4,1,5,0,1
177,0,1,2,2,3,5,1,1,1
178,0,2,1,1,1,3,1,1,1
179,0,3,1,1,1,4,1,1,1
180,0,3,2,1,3,3,11,0,1
181,0,2,1,2,1,3,1,1,1
182,0,3,1,1,4,1,7,0,1
183,1,2,1,1,4,1,4,0,1
184,1,3,2,1,3,1,3,0,1
185,0,1,1,1,1,3,1,1,1
186,1,3,2,3,2,4,2,0,1
187,1,1,1,1,1,5,1,1,1
188,0,3,1,3,1,4,3,0,1
189,0,3,1,1,1,4,1,1,1
190,1,2,2,1,2,4,1,1,1
191,0,2,1,1,1,2,1,1,1
192,1,3,2,1,3,2,2,0,1
193,1,2,1,1,4,1,3,0,1
194,1,1,2,2,2,5,1,1,1
195,1,1,2,2,3,6,1,1,2
196,0,3,1,3,1,3,1,1,1
197,0,3,1,1,1,5,2,0,1
198,1,3,2,3,3,3,1,1,1
199,0,2,2,1,3,3,1,1,1
200,0,3,1,1,1,3,1,1,1
201,0,3,1,1,1,3,11,0,1
202,0,3,1,1,1,4,1,1,1
203,0,3,1,2,1,5,1,1,1
204,1,3,1,1,1,2,1,1,1
205,0,3,2,1,3,1,2,0,1
206,0,3,1,1,1,4,2,0,1
207,1,3,1,2,1,3,1,1,1
208,1,3,2,3,3,2,1,1,1
209,1,1,1,2,1,4,1,1,1
210,0,3,1,1,1,3,1,1,1
211,1,2,2,1,3,4,1,1,1
212,0,3,1,1,1,3,1,1,1
213,0,2,1,1,1,3,1,1,1
214,0,3,1,3,1,3,2,0,1
215,1,1,2,2,3,4,2,0,2
216,1,3,2,1,3,3,1,1,1
217,0,2,1,1,1,5,2,0,1
218,1,1,2,2,3,4,1,1,1
219,0,2,1,1,1,3,1,1,1
220,1,3,1,1,1,2,1,1,1
221,0,2,1,1,1,3,1,1,1
222,0,3,1,1,1,6,1,1,1
223,0,3,1,1,1,3,1,1,1
224,1,1,1,1,1,4,2,0,1
225,0,3,1,1,1,3,1,1,1
226,1,2,1,1,1,2,1,1,1
227,0,3,1,1,1,3,1,1,1
228,0,2,1,1,1,2,1,1,1
229,0,3,2,1,3,3,5,0,1
230,1,1,2,1,2,4,2,0,1
231,0,3,1,1,1,3,1,1,1
232,0,2,1,1,1,6,1,1,1
233,1,3,2,1,3,1,7,0,1
234,0,2,1,1,1,3,1,1,1
235,0,3,2,1,3,3,1,1,1
236,0,2,1,1,1,5,2,0,1
237,1,2,2,1,3,1,3,0,1
238,0,2,1,1,1,2,1,1,1
239,0,2,1,1,1,4,1,1,1
240,0,3,2,2,3,3,2,0,1
241,1,3,2,3,3,3,2,0,1
242,0,2,1,1,1,3,1,1,1
243,0,3,1,1,1,3,1,1,1
244,0,3,1,2,1,3,1,1,1
245,0,1,1,3,5,5,3,0,1
246,0,3,2,1,3,3,1,1,1
247,1,2,2,1,2,3,3,0,1
248,1,1,1,1,1,4,3,0,1
249,0,2,1,1,5,6,2,0,1
250,0,3,1,1,1,3,1,1,1
251,0,3,2,1,2,3,3,0,1
252,0,1,1,1,1,7,1,1,1
253,0,3,1,1,1,3,2,0,1
254,0,3,2,1,2,5,3,0,1
255,1,3,2,2,2,3,3,0,1
256,1,1,2,2,2,4,1,1,1
257,1,1,2,1,3,3,1,1,1
258,1,1,2,2,3,4,1,1,5
259,1,2,2,1,2,5,2,0,1
260,0,3,1,3,1,3,1,1,1
261,1,3,1,1,4,1,7,0,1
262,0,1,1,1,1,6,3,0,1
263,0,1,1,1,1,4,1,1,1
264,0,3,2,3,3,3,1,1,1
265,0,2,1,1,1,4,1,1,1
266,0,3,1,1,1,2,6,0,1
267,1,3,1,1,1,3,2,0,1
268,1,1,2,1,2,6,2,0,2
269,1,1,2,1,3,4,1,1,2
270,0,1,1,1,1,3,1,1,1
271,1,3,1,1,1,3,1,1,1
272,1,2,2,1,2,5,2,0,1
273,0,1,1,2,1,4,2,0,1
274,1,3,2,3,3,3,1,1,1
275,1,1,2,1,3,7,2,0,1
276,0,3,2,1,3,5,1,1,1
277,0,2,1,1,1,3,1,1,1
278,0,3,1,3,4,1,6,0,1
279,1,3,2,1,2,4,3,0,1
280,0,3,1,3,1,7,1,1,1
281,0,3,1,1,1,3,1,1,1
282,0,3,1,1,1,2,1,1,1
283,1,3,1,1,1,2,1,1,1
284,0,1,1,1,1,3,1,1,1
285,0,3,1,2,1,4,1,1,1
286,1,3,1,1,1,3,1,1,1
287,0,3,1,1,1,3,1,1,1
288,1,2,1,1,1,5,1,1,1
289,1,3,2,3,3,3,1,1,1
290,1,1,2,1,3,3,1,1,1
291,1,1,2,2,2,2,2,0,1
292,0,2,1,2,1,4,1,1,1
293,0,3,2,1,3,3,1,1,1
294,0,3,1,1,1,3,1,1,1
295,0,1,1,2,1,3,1,1,1
296,0,3,1,2,1,3,1,1,1
297,0,1,2,1,3,1,4,0,2
298,1,1,1,1,1,3,1,1,1
299,1,1,2,2,2,5,2,0,3
300,1,3,2,3,3,3,1,1,1
301,1,3,1,3,1,3,3,0,1
302,0,3,1,1,1,2,1,1,1
303,1,2,2,3,3,3,1,1,1
304,0,3,1,1,1,3,1,1,1
305,1,1,1,1,4,1,4,0,2
306,1,1,2,2,3,3,1,1,2
307,1,1,2,2,2,2,2,0,2
308,0,2,1,2,1,3,2,0,1
309,1,1,2,2,3,3,1,1,1
310,1,1,2,2,3,3,1,1,1
311,1,1,2,2,3,2,5,0,3
312,0,2,2,1,2,3,3,0,1
313,0,3,1,1,1,3,1,1,1
314,0,2,1,1,1,5,3,0,1
315,1,3,2,1,3,3,1,1,1
316,1,2,2,1,2,3,2,0,1
317,0,2,1,1,5,6,1,1,1
318,1,1,2,1,3,4,3,0,2
319,1,1,2,2,2,4,3,0,2
320,0,3,1,1,1,3,1,1,1
321,0,3,1,1,1,3,1,1,1
322,1,2,2,3,3,3,1,1,1
323,1,2,2,1,2,3,3,0,1
324,0,3,1,1,1,3,11,0,1
325,1,1,2,2,3,4,1,1,2
326,0,3,1,1,1,7,1,1,1
327,1,2,2,1,2,4,1,1,1
328,1,3,2,1,2,4,3,0,1
329,1,1,2,2,3,2,2,0,1
330,1,3,2,3,3,3,3,0,1
331,0,1,1,1,1,5,1,1,1
332,0,1,1,1,1,4,2,0,2
333,0,3,1,1,1,2,3,0,1
334,1,1,2,1,2,4,2,0,2
335,0,3,1,1,1,3,1,1,1
336,0,1,1,1,1,3,2,0,1
337,1,1,2,2,3,5,1,1,2
338,1,3,1,1,1,5,1,1,1
339,0,1,1,1,1,5,1,1,1
340,1,2,1,1,4,1,3,0,1
341,1,1,2,1,3,3,6,0,3
342,0,2,1,1,1,3,1,1,1
343,0,2,1,1,1,3,1,1,1
344,0,2,1,1,1,4,1,1,1
345,1,2,2,1,3,3,1,1,1
346,1,2,2,1,3,4,1,1,1
347,1,3,2,1,2,4,2,0,1
348,1,3,1,1,4,1,3,0,1
349,0,3,1,1,1,5,1,1,1
350,0,3,1,1,1,3,1,1,1
351,0,1,1,1,1,3,1,1,1
352,0,3,1,2,1,2,3,0,1
353,0,3,1,1,1,3,2,0,1
354,0,3,1,2,1,3,1,1,1
355,0,3,1,1,1,3,1,1,1
356,1,1,2,1,3,3,2,0,1
357,0,2,2,1,3,4,1,1,1
358,1,3,2,3,3,3,1,1,1
359,1,3,2,3,3,3,1,1,1
360,0,3,1,1,1,4,6,0,1
361,0,2,1,2,1,3,2,0,1
362,0,3,2,2,2,5,2,0,1
363,0,3,1,1,1,4,1,1,1
364,0,3,1,3,1,3,2,0,1
365,0,3,1,1,1,3,1,1,1
366,1,1,2,2,2,6,2,0,1
367,1,3,2,2,2,4,1,1,1
368,1,3,2,3,3,3,1,1,1
369,1,1,2,2,2,3,1,1,1
370,1,1,1,2,1,3,2,0,1
371,0,3,1,1,1,2,2,0,1
372,0,3,1,1,1,2,1,1,1
373,0,1,1,2,1,3,1,1,2
374,0,3,2,1,3,1,5,0,1
375,1,1,2,2,2,4,2,0,1
376,1,3,2,1,3,3,1,1,1
377,0,1,1,2,1,3,3,0,3
378,0,3,1,2,1,2,1,1,1
379,0,3,1,1,1,2,1,1,1
380,1,1,2,2,3,5,1,1,3
381,1,3,2,2,3,1,3,0,1
382,0,3,1,1,1,4,1,1,1
383,1,1,2,1,2,4,2,0,1
384,0,3,1,1,1,3,1,1,1
385,0,2,1,1,1,2,1,1,1
386,0,3,1,1,4,1,8,0,1
387,1,2,2,1,3,4,1,1,1
388,0,3,1,3,1,3,1,1,1
389,1,2,2,2,3,2,1,1,1
390,1,1,1,1,1,4,4,0,2
391,1,3,1,1,1,3,1,1,1
392,0,3,1,1,1,3,3,0,1
393,1,1,2,2,3,3,2,0,2
394,1,3,2,1,2,3,3,0,1
395,0,3,1,1,1,3,1,1,1
396,0,3,2,1,3,4,1,1,1
397,0,2,1,1,1,5,1,1,1
398,0,2,1,1,5,3,1,1,1
399,1,2,2,1,2,3,1,1,1
400,1,3,1,1,1,4,1,1,1
401,0,3,1,1,1,3,1,1,1
402,0,3,2,1,3,3,2,0,1
403,0,3,1,1,1,3,2,0,1
404,0,3,2,1,3,2,1,1,1
405,0,2,1,1,1,4,2,0,1
406,0,3,1,1,1,6,1,1,1
407,1,2,1,1,4,1,3,0,1
408,0,3,1,1,1,3,1,1,1
409,0,3,2,1,3,3,5,0,1
410,0,3,1,1,1,3,1,1,1
411,0,3,1,3,1,3,1,1,1
412,1,1,2,3,3,4,2,0,1
413,0,2,1,1,1,3,1,1,1
414,1,3,1,1,1,5,1,1,1
415,0,3,2,1,2,4,1,1,1
416,1,2,2,1,2,4,3,0,1
417,1,2,2,1,3,2,3,0,1
418,0,2,1,1,1,3,1,1,1
419,0,3,2,1,3,1,3,0,1
420,0,3,1,2,1,3,1,1,1
421,0,3,1,3,1,3,1,1,1
422,0,3,1,1,1,3,1,1,1
423,0,3,2,1,2,3,3,0,1
424,0,3,1,1,1,2,3,0,1
425,0,3,1,1,1,3,1,1,1
426,1,2,2,1,2,3,2,0,1
427,1,2,2,1,3,2,1,1,1
428,0,3,1,3,1,3,1,1,1
429,1,3,1,1,1,4,1,1,1
430,1,1,1,1,1,3,1,1,1
431,1,3,2,1,2,4,2,0,1
432,1,2,2,1,2,5,2,0,1
433,0,3,1,1,1,2,1,1,1
434,0,1,1,1,1,5,2,0,1
435,1,1,2,1,3,2,4,0,2
436,0,3,2,1,3,3,5,0,1
437,1,2,2,1,2,3,6,0,1
438,0,1,1,1,1,7,6,0,3
439,0,2,1,1,1,4,1,1,1
440,1,2,2,1,2,5,3,0,1
441,0,3,1,1,1,2,1,1,1
442,0,3,1,1,1,3,2,0,1
443,1,2,2,1,3,3,1,1,1
444,1,3,1,1,1,3,1,1,1
445,1,1,1,1,4,1,3,0,1
446,1,2,2,1,3,2,2,0,1
447,1,1,1,1,1,4,1,1,1
448,1,3,2,2,3,1,4,0,1
449,1,1,1,1,5,6,1,1,1
450,0,2,1,1,1,4,4,0,1
451,0,3,1,1,1,3,2,0,1
452,0,1,1,2,1,3,1,1,1
453,1,1,1,2,1,5,2,0,1
454,0,3,1,1,1,3,1,1,1
455,1,3,1,2,1,3,1,1,1
456,0,1,1,1,1,7,1,1,1
457,1,1,2,1,2,4,2,0,1
458,1,2,2,1,3,5,1,1,1
459,0,3,1,3,1,3,1,1,1
460,1,1,1,1,1,5,1,1,1
461,0,3,1,1,1,4,1,1,1
462,0,1,1,1,1,5,1,1,1
463,0,2,1,1,1,5,1,1,1
464,0,3,1,1,1,3,1,1,1
465,0,3,1,1,1,4,1,1,1
466,0,2,1,1,1,3,1,1,1
467,0,1,1,1,1,6,1,1,1
468,0,3,1,3,1,3,1,1,1
469,1,3,2,2,3,1,4,0,1
470,0,3,1,1,1,3,1,1,1
471,0,3,1,1,1,4,1,1,1
472,1,2,2,1,2,4,4,0,1
473,1,2,2,2,2,3,1,1,1
474,0,3,2,1,3,3,1,1,1
475,0,1,1,1,1,3,1,1,1
476,0,2,1,1,1,4,2,0,1
477,0,3,1,1,1,3,2,0,1
478,0,3,1,1,1,3,1,1,1
479,1,3,2,1,3,1,2,0,1
480,0,3,1,1,4,1,8,0,1
481,0,2,1,1,1,3,1,1,1
482,0,3,1,1,1,5,1,1,1
483,1,3,2,1,2,7,1,1,1
484,1,1,1,2,1,3,2,0,1
485,0,3,2,1,3,3,5,0,1
486,1,1,2,1,2,4,2,0,1
487,0,1,1,2,1,6,1,1,1
488,0,3,1,1,1,3,1,1,1
489,1,3,1,1,4,1,3,0,1
490,0,3,1,1,1,3,2,0,1
491,0,3,1,1,1,3,1,1,1
492,0,1,1,1,1,6,1,1,1
493,0,1,1,2,1,8,1,1,1
494,0,3,1,1,1,3,1,1,1
495,0,3,1,2,1,3,1,1,1
496,1,1,2,2,3,6,2,0,1
497,0,3,1,1,1,3,1,1,1
498,0,1,2,1,2,3,4,0,2
499,0,3,1,1,1,3,1,1,1
500,0,3,1,1,1,2,1,1,1
501,0,3,2,3,3,3,1,1,1
502,0,3,2,3,3,3,1,1,1
503,0,3,2,1,3,4,1,1,1
504,1,1,2,1,3,2,1,1,1
505,0,1,1,2,1,2,2,0,2
506,1,2,2,1,2,4,3,0,1
507,1,1,1,1,1,3,1,1,1
508,0,3,1,1,1,3,1,1,1
509,1,3,1,1,1,3,1,1,1
510,1,3,1,3,1,3,1,1,1
511,0,3,1,1,1,3,1,1,1
512,1,1,1,1,1,4,1,1,1
513,1,1,2,2,2,6,2,0,1
514,0,3,1,1,1,3,1,1,1
515,0,1,1,1,1,5,1,1,1
516,1,2,2,1,2,4,1,1,1
517,0,3,1,3,1,3,1,1,1
518,1,2,2,1,2,4,2,0,1
519,0,3,1,1,1,4,1,1,1
520,1,1,2,1,3,3,1,1,1
521,0,3,1,1,1,3,1,1,1
522,0,3,1,2,1,3,1,1,1
523,1,1,2,2,2,5,2,0,1
524,0,3,1,2,1,3,1,1,1
525,0,3,1,3,1,5,1,1,1
526,1,2,2,1,3,5,1,1,1
527,0,1,1,1,1,3,1,1,3
528,0,3,1,1,1,4,1,1,1
529,0,2,1,1,1,3,4,0,1
530,1,2,2,1,3,1,3,0,1
531,0,3,1,2,1,3,1,1,1
532,0,3,1,2,1,2,3,0,1
533,1,3,2,2,2,4,3,0,1
534,0,3,2,1,3,3,1,1,1
535,1,2,2,1,3,1,3,0,1
536,0,1,1,1,5,5,1,1,1
537,1,1,2,2,3,3,1,1,2
538,0,3,1,1,1,3,1,1,1
539,1,1,2,2,3,3,3,0,1
540,1,1,2,1,3,4,3,0,1
541,0,3,2,1,3,1,7,0,1
542,0,3,2,1,3,2,7,0,1
543,1,2,1,1,1,4,2,0,1
544,0,1,1,2,1,5,2,0,2
545,0,1,1,1,1,7,1,1,1
546,1,2,2,1,2,2,2,0,1
547,1,2,1,2,1,3,1,1,1
548,0,3,1,1,1,4,3,0,1
549,1,2,1,1,4,1,3,0,1
550,1,1,1,2,1,2,3,0,2
551,0,2,1,1,1,3,1,1,1
552,0,3,1,3,1,3,1,1,1
553,1,3,1,2,1,3,1,1,1
554,1,3,2,1,3,3,1,1,1
555,0,1,1,1,1,7,1,1,1
556,1,1,2,2,5,5,2,0,1
557,0,1,1,2,1,3,1,1,3
558,1,1,2,1,2,4,3,0,1
559,1,3,2,1,2,4,2,0,1
560,0,3,1,3,1,3,1,1,1
561,0,3,1,1,1,4,1,1,1
562,0,2,1,1,1,3,1,1,1
563,0,3,1,1,1,3,1,1,1
564,0,3,2,1,3,3,1,1,1
565,0,3,1,1,1,3,3,0,1
566,0,3,1,1,1,2,1,1,1
567,0,3,2,1,2,3,5,0,1
568,0,3,1,2,1,3,1,1,1
569,1,3,1,1,1,4,1,1,1
570,1,2,1,1,1,7,1,1,1
571,1,1,2,1,2,6,3,0,1
572,1,1,1,1,1,4,1,1,1
573,1,3,2,3,3,3,1,1,1
574,0,3,1,1,1,2,1,1,1
575,0,3,1,1,1,2,1,1,1
576,1,2,2,1,3,4,1,1,1
577,1,1,2,1,2,4,2,0,1
578,0,3,2,2,2,4,2,0,1
579,1,3,1,1,1,4,1,1,1
580,1,2,2,1,3,3,3,0,1
581,1,1,2,2,2,4,3,0,2
582,0,2,1,1,1,6,1,1,1
583,0,1,1,2,1,4,1,1,1
584,0,3,1,2,1,3,1,1,1
585,1,1,2,1,3,2,3,0,1
586,0,2,1,1,1,5,1,1,1
587,1,1,1,2,1,6,3,0,1
588,0,3,1,1,1,3,1,1,1
589,0,3,1,1,1,3,1,1,1
590,0,3,1,1,1,4,1,1,1
591,1,1,2,2,2,6,2,0,1
592,0,3,1,1,1,5,1,1,1
593,0,3,2,3,3,3,3,0,1
594,0,2,1,1,1,4,2,0,1
595,0,3,1,1,1,4,3,0,1
596,1,2,2,1,3,3,1,1,1
597,0,3,1,1,1,5,1,1,1
598,0,3,1,2,1,3,1,1,1
599,1,1,1,2,5,5,2,0,1
600,1,2,2,1,2,3,4,0,1
601,0,3,1,1,1,3,1,1,1
602,0,1,1,1,1,3,1,1,1
603,0,3,1,1,1,5,1,1,1
604,1,1,1,2,1,4,1,1,1
605,0,3,1,1,1,4,2,0,1
606,0,3,1,1,1,3,1,1,1
607,1,1,1,1,1,3,1,1,1
608,1,2,2,2,2,3,4,0,1
609,1,1,2,1,3,4,1,1,2
610,0,3,2,1,2,4,7,0,1
611,0,3,1,1,1,3,1,1,1
612,1,3,2,3,3,3,2,0,1
613,0,3,1,3,1,3,1,1,1
614,0,3,1,1,1,4,1,1,1
615,1,2,2,1,3,3,4,0,1
616,0,3,1,1,1,4,3,0,1
617,0,3,2,1,2,3,2,0,1
618,1,2,2,1,3,1,4,0,1
619,0,2,1,1,1,3,1,1,1
620,0,3,1,2,1,3,2,0,1
621,1,1,1,1,1,5,2,0,1
622,1,3,1,2,1,2,3,0,1
623,0,3,1,1,1,3,1,1,1
624,0,3,1,1,1,3,1,1,1
625,0,1,1,1,1,7,1,1,1
626,0,2,1,3,5,6,1,1,1
627,1,1,2,1,3,3,1,1,1
628,0,3,1,1,1,3,1,1,1
629,0,3,1,3,1,3,1,1,1
630,1,1,1,1,1,8,1,1,1
631,0,3,1,1,1,6,1,1,1
632,1,1,1,2,5,4,1,1,1
633,0,1,1,1,1,3,1,1,1
634,0,3,2,1,3,1,6,0,1
635,1,2,2,1,3,3,1,1,1
636,0,3,1,1,1,4,1,1,1
637,0,2,1,1,1,4,3,0,1
638,0,3,2,1,2,5,6,0,1
639,0,3,1,1,1,3,2,0,1
640,0,3,1,1,1,2,1,1,1
641,1,1,2,2,3,3,1,1,1
642,0,3,2,1,3,1,6,0,1
643,1,3,1,1,1,3,1,1,1
644,1,3,2,2,3,1,4,0,1
645,1,1,1,2,1,5,2,0,1
646,0,3,1,1,1,2,1,1,1
647,1,1,1,2,5,6,1,1,1
648,0,3,1,1,1,3,1,1,1
649,1,3,2,1,3,3,1,1,1
650,0,3,1,1,1,3,1,1,1
651,1,2,2,1,3,2,2,0,1
652,0,3,1,1,1,3,1,1,1
653,1,3,2,3,3,3,1,1,1
654,0,3,2,3,3,2,1,1,1
655,0,2,1,1,1,3,3,0,1
656,0,3,1,1,1,3,1,1,1
657,0,3,2,3,2,4,3,0,1
658,0,2,1,1,1,3,1,1,1
659,0,1,1,2,1,6,3,0,2
660,1,1,1,1,5,5,3,0,2
661,0,3,1,2,1,4,1,1,1
662,0,1,1,1,1,5,1,1,1
663,0,3,1,1,1,4,1,1,1
664,1,3,1,1,1,2,2,0,1
665,0,2,1,1,1,4,3,0,1
666,0,2,1,1,1,3,1,1,1
667,0,3,1,1,1,3,1,1,1
668,0,3,1,1,1,5,1,1,1
669,1,1,2,1,2,4,2,0,1
670,1,2,2,1,2,4,3,0,1
671,0,1,1,1,1,4,2,0,1
672,0,2,1,1,1,7,1,1,1
673,1,2,1,1,1,4,1,1,1
674,0,2,1,1,1,3,1,1,1
675,0,3,1,1,1,2,1,1,1
676,0,3,1,1,1,3,1,1,1
677,1,3,2,1,3,2,1,1,1
678,0,3,2,1,2,5,8,0,1
679,1,1,1,2,1,4,2,0,5
680,0,3,2,3,3,3,1,1,1
681,1,1,1,2,1,3,1,1,1
682,0,3,1,1,1,2,1,1,1
683,0,3,1,1,1,2,8,0,1
684,0,2,1,1,1,6,3,0,1
685,0,2,1,2,1,3,4,0,1
686,0,3,1,1,1,2,6,0,1
687,0,3,1,1,1,2,1,1,1
688,0,3,1,1,1,2,1,1,1
689,1,1,2,1,3,2,2,0,3
690,1,1,1,1,1,4,2,0,1
691,1,3,2,2,3,1,2,0,1
692,1,3,1,1,1,3,1,1,1
693,0,3,1,2,1,3,1,1,1
694,0,1,1,1,5,6,1,1,1
695,0,2,1,1,1,6,1,1,1
